name,count,amount,pct_count,pct_amount,preventable
Coding,21985,3142896.61,53.3,45.2,True
Benefits,5516,1386901.32,13.4,19.9,False
Missing or Invalid Data,4070,421404.67,9.9,6.1,False
Payer Guidelines,2852,409607.12,6.9,5.9,False
Authorization,2772,631214.32,6.7,9.1,True
Duplicate,1279,311969.86,3.1,4.5,True
Coordination of Benefits,952,242664.68,2.3,3.5,False
Eligibility,589,174974.56,1.4,2.5,False
Medical Necessity,551,105225.11,1.3,1.5,False
Property and Casualty,542,91055.43,1.3,1.3,False
Timely Filing,101,29521.0,0.2,0.4,True
Diagnosis,40,10435.0,0.1,0.1,False
