name,count,amount,pct_count,pct_amount
HealthFirst of New York,10991,1897508.09,26.6,27.3
MetroPlus Health Plan,5370,1357276.23,13.0,19.5
BCBS New York Empire,4737,518053.67,11.5,7.4
Health Insurance Plan of Greater NY HIP,4262,831040.12,10.3,11.9
UMR,3724,462272.01,9.0,6.6
Medicare B New York Empire,2484,246177.14,6.0,3.5
UnitedHealthcare Community Plan NYU (Remits Only),1870,357217.18,4.5,5.1
New York Network Management,1586,304024.7,3.8,4.4
1199 National Benefit Fund,985,58732.64,2.4,0.8
Molina Healthcare of New York,826,97295.21,2.0,1.4
Medicare B New York Empire (SMNY0) Group Health Insurance (GHI) of NY,464,36059.59,1.1,0.5
Medicare B New York Empire (SMNY0) BCBS New York Empire,291,45361.57,0.7,0.7
Group Health Insurance (GHI) of NY,266,77128.23,0.6,1.1
Humana,248,44946.15,0.6,0.6
Medicare B New York Empire (SMNY0) AARP Medicare Supplement by UnitedHealthcare,237,40976.72,0.6,0.6
