Insurance name ,,Directed timed codes,,E-stim,,Strapping ,,Re-eval Code ,,
,,,,,,,,,,
Emblem HIP/HCP,,4CPT codes,,o14,,accepted,,yes,,
Healthfirst ,,4CPT codes,,o14,,No strapping,,no re eval ,,
BCBS,,4CPT codes,,o14,,No strapping,,yes,,
BCBS-Health plus ,,4CPT codes,,o14,,No strapping,,yes,,
WCOP-Workers Compensation,,4CPT codes,,o14,,accepted,,yes,,
Magnacare,,4CPT codes,,o14,,accepted,,yes,,
STATE FARM,,4CPT codes,,o14,,accepted,,yes,,
No Fault ,,4CPT codes,,o14,,accepted,,yes,,
Nyc Law Department,,4CPT codes,,o14,,accepted,,yes,,
1199,,4CPT codes,,o14,,accepted,,yes ,,
GEICO,,4CPT codes,,o14,,accepted,,yes,,
Emblem-GHI///NYCE ppo ,,4CPT codes,,o14,,"🚨🚨Strapping is a must "" if there is no strapping in initial note ask the doctor on the sheet before putting it """,,yes,🚨🚨🚨Manual therapy should be used instead of massage ,
Fiedelis ,,4CPT codes,,G-Code,,"🚨🚨Strapping is a must "" if there is no strapping in initial note ask the doctor on the sheet before putting it """,,yes,,
Medicide,,4 Therapeutic activities ,,g code,,Accepted,,yes,,
Aetna ,,4CPT,,G-Code,,accepted,,yes,,
United health care commercial,,4CPT codes,,G-Code,,accepted,,yes,,
multi plans ,,4CPT codes,,G-Code,,accepted,,yes,,
United health care choice plus,,4CPT codes,,G-Code,,accepted,,yes,,Use maunual therapy instead of massage 
oscar ,,4CPT codes,,G-Code,,accepted,,yes,,
Oxford,,4CPT codes,,G-Code,,accepted,,yes,,
VNS Medicaid,,4 Therapeutic activities,,G-Code,,accepted,,yes,,
Medicaid,,4 Therapeutic activities,,G-Code,,accepted,,yes,,
Village Care Max,,4CPT codes,,G-Code,,not a must,,yes,,
partner health  plans ,,4CPT codes,,G-Code,,accepted,,yes,,
centerlight   ,,4CPT codes,,G-Code,,accepted,,yes,,
Amida Care ,,4CPT codes,,G-Code,,accepted,,yes,,
CHAMPVA ,,4CPT codes,,G-Code,,accepted,,yes,,
integra ,,4CPT codes,,G-Code,,accepted,,yes,,
VNS Medicare,,4CPT codes,,G-Code,,accepted,,yes,,
Elderplan home first ,,4 Therapeutic activities ,,o14,,accepted,,yes,,
Empire plan,,4CPT codes,,G-Code,,accepted,,yes,,
Humana (Medicare),,4CPT codes,,G-Code,,accepted,,yes,,
Medicare,,4CPT codes,,G-Code,,No strapping,,No Re-eval code,,
Well Care,,4CPT codes,,G-Code,,accepted,,yes,,
Senior Whole Health,,4CPT codes,,G-Code,,accepted,,yes,,
	Centers Plan for Healthy Living LLC,,4 Therapeutic activities ,,G-Code,,accepted,,yes,,
Cigna,,4CPT codes,,G-Code,,accepted,,yes,,
Metroplus,,4CPT codes,,o14,,accepted,,yes,,
progressive,,4CPT codes,,o14,,accepted,,yes,,same as WC/NO FAULT 
United health care community plan ,,4 Therapeutic activities ,,G code,,accepted,,,,
Sedgwick Claims Management ,,4 CPT,,o14,,accepted,,yes,,
Gcg risk mangment,,4CPT codes,,o14,,accepted,,yes,,
fire department of new York ,,4CPT codes,,o14,,accepted,,yes,,
Affinity,,4CPT codes,,G-Code,,accepted,,yes,,
VNS Medicare,,4CPT codes,,G-Code,,accepted,,yes,,
Tricare,,4CPT codes,,G-Code,,accepted,,yes,,
UMR,,4CPT codes,,G-Code,,accepted,,yes,,
AARP,,4CPT codes,,G-Code,,accepted,,yes,,
Emblem Medicaid,,4CPT codes,,o14,,accepted,,yes,,Use neuromuscler unite 
Anthem-commercial ,,4CPT codes,,o14,,accepted,,yes,,
